FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD;AÑO;AÑO_MES;DIA;AÑO_SEMANA
2023-01-03;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-01;3;2023-W01
2023-01-11;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-01;11;2023-W02
2023-01-11;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-01;11;2023-W02
2023-01-12;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-01;12;2023-W02
2023-01-18;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-01;18;2023-W03
2023-01-18;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-01;18;2023-W03
2023-01-26;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-01;26;2023-W04
2023-01-31;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-01;31;2023-W05
2023-02-02;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;2;2023-W05
2023-02-04;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;4;2023-W05
2023-02-04;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;4;2023-W05
2023-02-06;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;6;2023-W06
2023-02-12;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;12;2023-W07
2023-02-13;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;13;2023-W07
2023-02-15;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;15;2023-W07
2023-02-27;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;27;2023-W09
2023-02-27;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;27;2023-W09
2023-02-28;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-02;28;2023-W09
2023-03-04;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-03;4;2023-W09
2023-03-14;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-03;14;2023-W11
2023-03-25;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-03;25;2023-W12
2023-03-28;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-03;28;2023-W13
2023-04-02;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-04;2;2023-W14
2023-04-02;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-04;2;2023-W14
2023-04-09;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-04;9;2023-W15
2023-04-13;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-04;13;2023-W15
2023-04-17;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-04;17;2023-W16
2023-04-17;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-04;17;2023-W16
2023-04-19;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-04;19;2023-W16
2023-04-23;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-04;23;2023-W17
2023-04-28;47;MAGDALENA;47001;SANTA MARTA;2;2023;2023-04;28;2023-W17
2023-04-29;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-04;29;2023-W17
2023-05-05;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;5;2023-W18
2023-05-05;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;5;2023-W18
2023-05-12;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;12;2023-W19
2023-05-15;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;15;2023-W20
2023-05-17;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;17;2023-W20
2023-05-17;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;17;2023-W20
2023-05-17;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;17;2023-W20
2023-05-21;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;21;2023-W21
2023-05-21;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;21;2023-W21
2023-05-31;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-05;31;2023-W22
2023-06-07;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-06;7;2023-W23
2023-06-07;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-06;7;2023-W23
2023-06-17;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-06;17;2023-W24
2023-06-18;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-06;18;2023-W25
2023-06-23;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-06;23;2023-W25
2023-06-24;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-06;24;2023-W25
2023-06-26;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-06;26;2023-W26
2023-06-27;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-06;27;2023-W26
2023-06-27;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-06;27;2023-W26
2023-07-02;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-07;2;2023-W27
2023-07-02;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-07;2;2023-W27
2023-07-04;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-07;4;2023-W27
2023-07-09;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-07;9;2023-W28
2023-07-16;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-07;16;2023-W29
2023-07-17;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-07;17;2023-W29
2023-07-22;47;MAGDALENA;47001;SANTA MARTA;2;2023;2023-07;22;2023-W29
2023-07-22;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-07;22;2023-W29
2023-07-28;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-07;28;2023-W30
2023-07-31;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-07;31;2023-W31
2023-08-03;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-08;3;2023-W31
2023-08-04;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-08;4;2023-W31
2023-08-06;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-08;6;2023-W32
2023-08-28;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-08;28;2023-W35
2023-08-31;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-08;31;2023-W35
2023-09-01;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;1;2023-W35
2023-09-01;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;1;2023-W35
2023-09-04;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;4;2023-W36
2023-09-08;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;8;2023-W36
2023-09-08;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;8;2023-W36
2023-09-22;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;22;2023-W38
2023-09-24;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;24;2023-W39
2023-09-24;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;24;2023-W39
2023-09-30;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;30;2023-W39
2023-09-30;47;MAGDALENA;47001;SANTA MARTA;1;2023;2023-09;30;2023-W39
2021-10-01;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-10;1;2021-W39
2021-10-03;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-10;3;2021-W40
2021-10-05;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-10;5;2021-W40
2021-10-11;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-10;11;2021-W41
2021-10-13;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-10;13;2021-W41
2021-10-14;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-10;14;2021-W41
2021-10-16;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-10;16;2021-W41
2021-10-17;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-10;17;2021-W42
2021-10-21;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-10;21;2021-W42
2021-11-05;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-11;5;2021-W44
2021-11-07;13;BOLIVAR;13001;CARTAGENA;2;2021;2021-11;7;2021-W45
2021-11-08;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-11;8;2021-W45
2021-11-08;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-11;8;2021-W45
2021-11-11;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-11;11;2021-W45
2021-11-21;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-11;21;2021-W47
2021-11-25;13;BOLIVAR;13001;CARTAGENA;2;2021;2021-11;25;2021-W47
2021-12-07;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-12;7;2021-W49
2021-12-11;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-12;11;2021-W49
2021-12-16;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-12;16;2021-W50
2021-12-16;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-12;16;2021-W50
2021-12-25;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-12;25;2021-W51
2021-12-26;13;BOLIVAR;13001;CARTAGENA;1;2021;2021-12;26;2021-W52
2021-12-29;13;BOLIVAR;13001;CARTAGENA;3;2021;2021-12;29;2021-W52
2022-01-01;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;1;2022-W00
2022-01-01;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;1;2022-W00
2022-01-01;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;1;2022-W00
2022-01-02;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;2;2022-W01
2022-01-02;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;2;2022-W01
2022-01-02;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;2;2022-W01
2022-01-03;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;3;2022-W01
2022-01-09;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;9;2022-W02
2022-01-10;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;10;2022-W02
2022-01-10;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;10;2022-W02
2022-01-14;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;14;2022-W02
2022-01-16;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;16;2022-W03
2022-01-22;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;22;2022-W03
2022-01-23;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;23;2022-W04
2022-01-28;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;28;2022-W04
2022-01-30;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-01;30;2022-W05
2022-02-01;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;1;2022-W05
2022-02-01;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;1;2022-W05
2022-02-02;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;2;2022-W05
2022-02-06;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;6;2022-W06
2022-02-06;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;6;2022-W06
2022-02-14;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;14;2022-W07
2022-02-21;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;21;2022-W08
2022-02-21;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;21;2022-W08
2022-02-21;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;21;2022-W08
2022-02-21;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;21;2022-W08
2022-02-22;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;22;2022-W08
